name,population,income,educational attainment,unemployment,health insurance coverage,housing cost burden,state,congressional district,composite_score
"Congressional District 3 (116th Congress), Kentucky",0.22866273380181237,0.9997956014899961,0.36891679748822603,1.0,0.2277846731934097,0.819737497923243,Kentucky,03,0.6074828839827812
"Congressional District 5 (116th Congress), Kentucky",0.21300345676828106,0.9997601937678261,0.06907378335949765,1.0,0.20957530774016422,0.7894546058692927,Kentucky,05,0.546811224584177
"Congressional District 1 (116th Congress), Maine",0.21089480968730592,0.9998071296553306,0.4678178963893249,1.0,0.20967930642779983,0.8648421413000247,Maine,01,0.625506880576631
"Congressional District 1 (116th Congress), Minnesota",0.20823634785397166,0.999804205627963,0.32496075353218207,1.0,0.20667324912328486,0.88147130047778,Minnesota,01,0.6035243094358637
"Congressional District 2 (116th Congress), Minnesota",0.21816649373610492,0.9998369052509403,0.48037676609105184,1.0,0.21827900743157289,0.9243405982066889,Minnesota,02,0.6401666284527265
"Congressional District 4 (116th Congress), Minnesota",0.2197204115194484,0.9998328580971632,0.5510204081632653,1.0,0.2193063039918782,0.8820452405765581,Minnesota,04,0.6453208703913855
"Congressional District 6 (116th Congress), Minnesota",0.22118003146537613,0.9998252151394746,0.33751962323390894,1.0,0.22081521352230554,0.9217226258262975,Minnesota,06,0.6168437848645604
"Congressional District 8 (116th Congress), Minnesota",0.20554747727176392,0.9997916473052944,0.23547880690737832,1.0,0.20343257573178242,0.8606181435555086,Minnesota,08,0.5841447751286213
"Congressional District 1 (116th Congress), Missouri",0.22270169754536895,0.9997827702581065,0.3736263736263735,1.0,0.22185086712001015,0.7573290640245284,Missouri,01,0.5958817954290646
"Congressional District 2 (116th Congress), Missouri",0.2342020406420608,0.9998411923249115,0.6436420722135008,1.0,0.2331012965788765,0.9111752178706822,Missouri,02,0.6703269699383387
"Congressional District 3 (116th Congress), Missouri",0.24455668037210482,0.9998035788364554,0.29356357927786497,1.0,0.24289326825161492,0.8878903673720089,Missouri,03,0.6114512456850082
"Congressional District 4 (116th Congress), Missouri",0.2370641489451236,0.9997849400363634,0.260596546310832,1.0,0.22998814538768916,0.8363364497273784,Missouri,04,0.5939617050678977
"Congressional District 5 (116th Congress), Missouri",0.23766986664995723,0.9997920131835906,0.3092621664050235,1.0,0.23708977005766355,0.7980888801623143,Missouri,05,0.5969837827430915
"Congressional District 6 (116th Congress), Missouri",0.2381610140181261,0.9998028605753738,0.3045525902668759,1.0,0.2340366657277896,0.868079364839624,Missouri,06,0.6074387492379649
